name,company,country,price,ratings,score,type,rum_url,img_url,br_score
Neisson Profile 105,Neisson,Martinique,0,0,0,Light,/brands/8573-neisson-profile-105,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
Neisson Reserve Speciale,Neisson,Martinique,0,29,6.8,Agricole,/brands/584-neisson-reserve-speciale,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/584/small_Neisson_Rhum_R_serve_Speciale_rum.png,6.234902596
Neisson Rhum Agricole Blanc,Neisson,Martinique,0,35,7.8,Agricole,/brands/583-neisson-rhum-agricole-blanc,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/583/small_Neisson_Rhum_Agricole_Blanc_rum.png,7.065362919
Neisson Shrubb,Neisson,Martinique,0,1,4,Flavored,/brands/6834-neisson-shrubb,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.711954542
Neisson Vieux,Neisson,Martinique,0,9,6.6,Agricole,/brands/6674-neisson-vieux,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6674/small_neisson-vieux-rhum.png,5.587191617
Neisson White 50,Neisson,Martinique,0,22,7.5,Light,/brands/585-neisson-white-50,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/585/small_Neisson_White_50_rum.png,6.579319695
Neisson White 55,Neisson,Martinique,0,9,6.9,Light,/brands/586-neisson-white-55,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/586/small_Neisson_White_55_rum_400px.png,5.72066945
Neisson XO 45,Neisson,Martinique,0,9,8.3,Aged,/brands/587-neisson-xo-45,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/587/small_Neisson_XO_45_rum.png,6.343566006
Neisson XO Full Proof,Neisson,Martinique,0,3,7.3,Aged,/brands/6832-neisson-xo-full-proof,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6832/small_neisson-xo-full-proof.png,5.30768441
Neisson XO Le Rhum Par,Neisson,Martinique,0,4,7.5,Aged,/brands/5726-neisson-xo-le-rhum-par,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5726/small_neisson-le-rhum-xo-par.png,5.491050664
Neisson 1992,Neisson,Martinique,0,3,7.7,Aged,/brands/2130-neisson-1992,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/2130/small_neisson-1992.png,5.392024685
Neisson 18-Year,Neisson,Martinique,0,2,8.5,Aged,/brands/6856-neisson-18-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6856/small_neisson-18-year.png,5.338504035
Neisson 15-Year,Neisson,Martinique,0,1,8,Aged,/brands/5078-neisson-15-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.03907055
